z,Velocity,H2,NH3,N2,Ni(s),N(s),H(s),NH(s),NH2(s),NH3(s),GasTemperature
0,0.001,0,0.570442,0.3331,6.80E-06,9.99E-01,0.00040729,0.000309538,2.62E-09,5.15E-05,520
5.12E-13,0.001000002,1.45E-17,0.570442,0.3331,6.80E-06,9.99E-01,0.00040729,0.000309538,2.62E-09,5.15E-05,520
5.24E-10,0.001000002,1.49E-14,0.570442,0.3331,6.80E-06,9.99E-01,0.00040729,0.000309538,2.62E-09,5.15E-05,520
4.03E-07,0.001,1.14E-11,0.570442,0.3331,6.80E-06,9.99E-01,0.00040729,0.000309538,2.62E-09,5.15E-05,520
1.95E-05,0.001000006,5.53E-10,0.570442,0.3331,6.80E-06,9.99E-01,0.000407304,0.000309546,2.62E-09,5.15E-05,520.003
1.31E-03,0.00100035,3.74E-08,0.570424,0.333115,6.83E-06,9.99E-01,0.000408259,0.000310053,2.63E-09,5.14E-05,520.178
0.00968234,0.001002658,2.89E-07,0.570302,0.333215,7.06E-06,9.99E-01,0.000414725,0.000313477,2.70E-09,5.09E-05,521.359
0.0196823,0.001005616,6.22E-07,0.570147,0.333343,7.36E-06,9.99E-01,0.000423113,0.000317894,2.79E-09,5.01E-05,522.872
0.0296823,0.001008826,9.95E-07,0.569977,0.333483,7.69E-06,9.99E-01,0.000432349,0.000322723,2.88E-09,4.94E-05,524.513
0.0396823,0.001012333,1.42E-06,0.569792,0.333635,8.08E-06,9.99E-01,0.000442599,0.000328042,2.99E-09,4.86E-05,526.305
0.0496823,0.001016195,1.90E-06,0.569588,0.333803,8.52E-06,9.99E-01,0.00045408,0.000333952,3.12E-09,4.77E-05,528.278
0.0596823,0.001020485,2.47E-06,0.569361,0.33399,9.03E-06,9.99E-01,0.000467081,0.000340584,3.26E-09,4.68E-05,530.47
0.0696823,0.001025306,3.14E-06,0.569105,0.3342,9.64E-06,9.99E-01,0.000482002,0.00034812,3.43E-09,4.58E-05,532.934
0.0796823,0.001030804,3.94E-06,0.568812,0.334441,1.04E-05,9.99E-01,0.000499412,0.000356815,3.63E-09,4.47E-05,535.742
0.0896823,0.001037187,4.94E-06,0.568472,0.334721,1.13E-05,9.99E-01,0.00052016,0.000367046,3.88E-09,4.34E-05,539
0.0996823,0.001044772,6.22E-06,0.568066,0.335054,1.25E-05,9.99E-01,0.000545584,0.000379396,4.19E-09,4.20E-05,542.871
0.109182,0.001053571,7.84E-06,0.567593,0.335443,1.39E-05,9.99E-01,0.000576123,0.000393976,4.57E-09,4.04E-05,547.36
0.118182,0.001064071,9.98E-06,0.567027,0.335909,1.59E-05,9.99E-01,0.000614049,0.000411724,5.06E-09,3.86E-05,552.714
0.126419,0.001076657,1.29E-05,0.566344,0.336471,1.86E-05,9.99E-01,0.000661671,0.000433489,5.70E-09,3.66E-05,559.128
0.132444,0.001088899,1.61E-05,0.565675,0.337021,2.15E-05,9.99E-01,0.000710267,0.000455154,6.38E-09,3.49E-05,565.362
0.137348,0.001102143,2.00E-05,0.564946,0.33762,2.52E-05,9.99E-01,0.000765377,0.000479118,7.18E-09,3.30E-05,572.099
0.141239,0.001116293,2.48E-05,0.564162,0.338266,2.96E-05,9.99E-01,0.000827207,0.000505307,8.13E-09,3.13E-05,579.293
0.144337,0.001131686,3.08E-05,0.5633,0.338974,3.52E-05,9.98E-01,0.000897885,0.00053443,9.26E-09,2.95E-05,587.11
0.146451,0.001145933,3.72E-05,0.562495,0.339636,4.11E-05,9.98E-01,0.000966468,0.000561939,1.04E-08,2.79E-05,594.337
0.147788,0.001157628,4.31E-05,0.561829,0.340184,4.65E-05,9.98E-01,0.00102501,0.000584888,1.14E-08,2.68E-05,600.264
0.148837,0.001169138,4.95E-05,0.561167,0.340728,5.24E-05,9.98E-01,0.00108457,0.00060777,1.25E-08,2.57E-05,606.091
0.149784,0.001182246,5.77E-05,0.560406,0.341354,5.99E-05,9.98E-01,0.00115468,0.000634152,1.38E-08,2.45E-05,612.718
0.1506,0.001196855,6.79E-05,0.559549,0.342059,6.92E-05,9.98E-01,0.00123564,0.000663923,1.54E-08,2.33E-05,620.097
0.151384,0.001215801,8.32E-05,0.558421,0.342987,8.31E-05,9.98E-01,0.00134482,0.000703008,1.76E-08,2.18E-05,629.649
0.151979,0.001235963,0.000102208,0.557199,0.343992,1.00E-04,9.98E-01,0.00146593,0.000745054,2.02E-08,2.04E-05,639.793
0.152483,0.001260707,0.000130042,0.555666,0.345253,1.25E-04,9.97E-01,0.0016208,0.000797033,2.37E-08,1.88E-05,652.207
