z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, H2_0, NH3_0, N2_0, Ni(s)_0, N(s)_0, H(s)_0, NH(s)_0, NH2(s)_0, NH3(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, H2_1, NH3_1, N2_1, Ni(s)_1, N(s)_1, H(s)_1, NH(s)_1, NH2(s)_1, NH3(s)_1, 
0.00555556, 510077, 510062, 0.0279329, 773, 773, 0.036252, 0.93602, 0.0681619, 0.00265036, 0.975536, 0.0197571, 0.00203687, 1.71381e-07, 1.98027e-05, 0.0315045, 773, 773, 0.029819, 0.7855, 0.0470201, 0.00260461, 0.97599, 0.0193541, 0.00203132, 1.70445e-07, 1.96626e-05, 
0.0111111, 510069, 510053, 0.0332118, 773, 773, 0.0536683, 0.463563, 0.29148, 0.00817085, 0.911722, 0.0776444, 0.00242662, 2.56432e-07, 3.59263e-05, 0.0309242, 773, 773, 0.0920144, 0.790785, 0.541532, 0.00817314, 0.91215, 0.0772271, 0.00241404, 2.53671e-07, 3.53441e-05, 
0.0166667, 510060, 510045, 0.0346448, 773, 773, 0.0735077, 0.374388, 0.466374, 0.0136786, 0.843349, 0.140504, 0.00242634, 2.76655e-07, 4.16862e-05, 0.0309038, 773, 773, 0.0541529, 0.282122, 0.360685, 0.0133434, 0.848332, 0.135865, 0.00241937, 2.73475e-07, 4.08568e-05, 
0.0222222, 510050, 510036, 0.0355049, 773, 773, 0.11893, 0.311853, 1.00332, 0.0235001, 0.724236, 0.250066, 0.00215855, 2.54747e-07, 3.96788e-05, 0.027895, 773, 773, 0.0687806, 0.186907, 0.60446, 0.0227982, 0.734679, 0.240314, 0.00216907, 2.53592e-07, 3.91324e-05, 
0.0277778, 510039, 510028, 0.032072, 773, 773, 0.0710899, 0.1034, 0.793593, 0.0345726, 0.601216, 0.362415, 0.00176523, 2.05162e-07, 3.1457e-05, 0.02384, 773, 773, 0.0807906, 0.113381, 0.962577, 0.0352285, 0.598128, 0.364878, 0.00173518, 1.99261e-07, 3.01875e-05, 
0.0305556, 510035, 510025, 0.0295677, 773, 773, 0.066028, 0.0613979, 0.879295, 0.0441174, 0.502463, 0.451954, 0.00144173, 1.63731e-07, 2.45258e-05, 0.0224592, 773, 773, 0.0655914, 0.0598607, 0.921935, 0.0445129, 0.503567, 0.450469, 0.00142735, 1.60131e-07, 2.36958e-05, 
0.0333334, 510030, 510021, 0.0280433, 773, 773, 0.0537733, 0.0308594, 0.863432, 0.0549569, 0.400909, 0.543007, 0.00110949, 1.21515e-07, 1.7552e-05, 0.0200148, 773, 773, 0.057409, 0.0319334, 0.970316, 0.0557575, 0.399356, 0.543779, 0.00109088, 1.17928e-07, 1.68133e-05, 
0.0361111, 510026, 510018, 0.0254109, 773, 773, 0.0482701, 0.0163045, 0.947506, 0.0669619, 0.302276, 0.629954, 0.000796491, 8.30525e-08, 1.14203e-05, 0.018954, 773, 773, 0.0455692, 0.0150145, 0.93489, 0.0677508, 0.30209, 0.629363, 0.000785992, 8.09274e-08, 1.09882e-05, 
0.0388889, 510022, 510015, 0.0245129, 773, 773, 0.0389716, 0.00807873, 0.922866, 0.0778115, 0.227615, 0.693998, 0.000568606, 5.62076e-08, 7.32658e-06, 0.0172672, 773, 773, 0.035955, 0.00727284, 0.884138, 0.0786791, 0.227216, 0.693537, 0.000560977, 5.48055e-08, 7.06037e-06, 
0.0416667, 510018, 510012, 0.0227731, 773, 773, 0.0369079, 0.00502768, 1.04391, 0.0871548, 0.177368, 0.735053, 0.000418986, 3.91634e-08, 4.8268e-06, 0.0164121, 773, 773, 0.0315869, 0.00426315, 0.920769, 0.0877914, 0.178799, 0.732987, 0.000418124, 3.86904e-08, 4.72063e-06, 
0.0444445, 510014, 510010, 0.0224251, 773, 773, 0.0251952, 0.00266179, 0.828633, 0.0936282, 0.15564, 0.750379, 0.000349375, 3.1032e-08, 3.6342e-06, 0.0151595, 773, 773, 0.0302289, 0.0031445, 1.02251, 0.0944059, 0.156052, 0.749191, 0.000346864, 3.05068e-08, 3.53766e-06, 
0.0472222, 510010, 510007, 0.0211238, 773, 773, 0.0288199, 0.00260756, 1.08662, 0.098686, 0.147579, 0.753416, 0.000315573, 2.67004e-08, 2.97855e-06, 0.0147983, 773, 773, 0.0264262, 0.00238139, 1.01892, 0.0992345, 0.149013, 0.751434, 0.000316044, 2.65225e-08, 2.93461e-06, 
0.05, 510007, 510005, 0.0206994, 773, 773, 0.0228859, 0.00192595, 0.959593, 0.102133, 0.147775, 0.749786, 0.000303857, 2.47217e-08, 2.65187e-06, 0.0144299, 773, 773, 0.023009, 0.00193163, 0.981051, 0.102556, 0.148959, 0.748178, 0.000304372, 2.46084e-08, 2.62318e-06, 
0.0527778, 510003, 510002, 0.0202995, 773, 773, 0.0218882, 0.0017656, 0.995645, 0.104689, 0.149753, 0.745257, 0.000298593, 2.3557e-08, 2.45033e-06, 0.0141325, 773, 773, 0.0216438, 0.00174373, 0.996756, 0.105003, 0.150724, 0.743971, 0.000299113, 2.34869e-08, 2.43152e-06, 
0.0555556, 510000, 510000, 0.0200369, 773, 773, 0.0204279, 0.00160014, 0.982913, 0.106506, 0.151192, 0.742005, 0.000295026, 2.27787e-08, 2.31876e-06, 0.0139706, 773, 773, 0.0207997, 0.00163039, 1.00864, 0.106685, 0.152006, 0.741011, 0.000295718, 2.27632e-08, 2.3102e-06, 
