z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, H2_0, NH3_0, N2_0, Ni(s)_0, N(s)_0, H(s)_0, NH(s)_0, NH2(s)_0, NH3(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, H2_1, NH3_1, N2_1, Ni(s)_1, N(s)_1, H(s)_1, NH(s)_1, NH2(s)_1, NH3(s)_1, 
0.00277778, 510078, 510061, 0.0278537, 773, 773, 0.252052, 0.674249, 0.0736998, 0.00298195, 0.972281, 0.0226476, 0.0020683, 1.76832e-07, 2.06261e-05, 0.0288793, 773, 773, 0.251436, 0.674029, 0.0745352, 0.00297513, 0.972366, 0.0225721, 0.00206632, 1.76489e-07, 2.057e-05, 
0.00833333, 510069, 510053, 0.0338057, 773, 773, 0.403967, 0.454672, 0.141361, 0.00742734, 0.920395, 0.0697228, 0.00241999, 2.52748e-07, 3.5028e-05, 0.0310942, 773, 773, 0.397396, 0.458359, 0.144244, 0.0072217, 0.923085, 0.0672511, 0.00240768, 2.49502e-07, 3.4322e-05, 
0.0138889, 510060, 510045, 0.0342359, 773, 773, 0.487664, 0.277261, 0.235075, 0.0143843, 0.835102, 0.148064, 0.00240766, 2.75075e-07, 4.15247e-05, 0.0309284, 773, 773, 0.47904, 0.278349, 0.242612, 0.0140449, 0.840224, 0.143289, 0.00240097, 2.719e-07, 4.06905e-05, 
0.0194444, 510050, 510036, 0.0352908, 773, 773, 0.520374, 0.165806, 0.31382, 0.0230461, 0.729772, 0.244969, 0.00217269, 2.56143e-07, 3.98551e-05, 0.0277093, 773, 773, 0.510724, 0.165331, 0.323945, 0.0226814, 0.736262, 0.238846, 0.00217158, 2.53635e-07, 3.91009e-05, 
0.025, 510040, 510028, 0.0318571, 773, 773, 0.505088, 0.0789397, 0.415972, 0.0365939, 0.578498, 0.383181, 0.00169666, 1.96968e-07, 3.01645e-05, 0.0240292, 773, 773, 0.493604, 0.0759977, 0.430398, 0.0368356, 0.580155, 0.381298, 0.00168204, 1.93038e-07, 2.92253e-05, 
0.0305556, 510030, 510021, 0.0282125, 773, 773, 0.444951, 0.0293629, 0.525686, 0.0556411, 0.396425, 0.546826, 0.00109121, 1.18873e-07, 1.70784e-05, 0.0199116, 773, 773, 0.433911, 0.0279275, 0.538161, 0.0563069, 0.396143, 0.546456, 0.00107682, 1.1584e-07, 1.64349e-05, 
0.0361111, 510021, 510015, 0.0241851, 773, 773, 0.362509, 0.0094326, 0.628059, 0.0769458, 0.2399, 0.682551, 0.000596041, 5.86003e-08, 7.59719e-06, 0.0170477, 773, 773, 0.353683, 0.00891408, 0.637403, 0.0779629, 0.238346, 0.683098, 0.000584925, 5.68026e-08, 7.27391e-06, 
0.0416667, 510014, 510010, 0.0217112, 773, 773, 0.293626, 0.00391343, 0.70246, 0.0928925, 0.165142, 0.741592, 0.000369266, 3.26717e-08, 3.81147e-06, 0.0155201, 773, 773, 0.288065, 0.00376605, 0.708169, 0.0937037, 0.164979, 0.740948, 0.000365389, 3.20209e-08, 3.69999e-06, 
0.0472222, 510007, 510005, 0.0206874, 773, 773, 0.249222, 0.00253523, 0.748243, 0.101703, 0.149968, 0.748017, 0.000308939, 2.51818e-08, 2.70625e-06, 0.0144678, 773, 773, 0.246176, 0.00249439, 0.751329, 0.102138, 0.150939, 0.746611, 0.000309033, 2.50351e-08, 2.67399e-06, 
0.0527778, 510000, 510000, 0.0199958, 773, 773, 0.222759, 0.00207123, 0.77517, 0.106582, 0.152008, 0.741111, 0.000296047, 2.28136e-08, 2.31786e-06, 0.0139596, 773, 773, 0.221311, 0.00205658, 0.776632, 0.106797, 0.152719, 0.740185, 0.000296465, 2.27714e-08, 2.30605e-06, 
