z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, 
0.000526316, 1.00021e+06, 0.143114, 1173, 1173, 0.17317, 0.018467, 4.51834e-17, 0.0279799, 0.194771, 0.585603, 8.82523e-06, 0.258482, 0.00725296, 4.20632e-09, 0.00423909, 2.30314e-05, 0.260811, 0.000231757, 8.65891e-08, 6.52764e-11, 1.43795e-11, 1.20877e-09, 3.71367e-10, 4.8444e-08, 0.468959, 
0.00157895, 1.00019e+06, 0.148511, 1173, 1173, 0.133677, 0.0343166, 1.71916e-17, 0.0433043, 0.275297, 0.513397, 8.47226e-06, 0.267573, 0.00391755, 2.82732e-09, 0.00323597, 2.31471e-05, 0.316763, 0.000148819, 2.25065e-07, 1.25564e-10, 8.18601e-12, 7.77593e-10, 2.14792e-10, 5.78215e-08, 0.408338, 
0.00263158, 1.00018e+06, 0.152565, 1173, 1173, 0.110615, 0.0463697, 1.12088e-17, 0.05061, 0.316971, 0.475427, 8.31681e-06, 0.2679, 0.00294014, 2.18302e-09, 0.00279613, 2.34822e-05, 0.345201, 0.000119844, 3.52567e-07, 1.69872e-10, 6.06205e-12, 5.95755e-10, 1.5746e-10, 6.29226e-08, 0.381019, 
0.00368421, 1.00017e+06, 0.152778, 1173, 1173, 0.0947489, 0.0560555, 8.64727e-18, 0.0553558, 0.341937, 0.451895, 8.25662e-06, 0.266421, 0.0024805, 1.79041e-09, 0.00254474, 2.39525e-05, 0.363599, 0.000105014, 4.63029e-07, 2.0422e-10, 4.96435e-12, 4.88621e-10, 1.26216e-10, 6.66546e-08, 0.364825, 
0.00473684, 1.00016e+06, 0.153959, 1173, 1173, 0.0827663, 0.0641971, 7.43325e-18, 0.0591781, 0.357822, 0.436028, 8.25399e-06, 0.264363, 0.00221858, 1.51706e-09, 0.00238172, 2.45362e-05, 0.377033, 9.60814e-05, 5.57769e-07, 2.32072e-10, 4.28193e-12, 4.15271e-10, 1.05919e-10, 6.98429e-08, 0.353882, 
0.00578947, 1.00015e+06, 0.152329, 1173, 1173, 0.0732642, 0.0711868, 6.67043e-18, 0.0625923, 0.368022, 0.424926, 8.28955e-06, 0.262116, 0.00205524, 1.31289e-09, 0.00226922, 2.52052e-05, 0.387463, 9.02666e-05, 6.3811e-07, 2.5515e-10, 3.81248e-12, 3.61008e-10, 9.14644e-11, 7.27599e-08, 0.34598, 
0.00684211, 1.00014e+06, 0.15224, 1173, 1173, 0.0653747, 0.0773895, 6.19843e-18, 0.065917, 0.374322, 0.416989, 8.35418e-06, 0.259744, 0.00194838, 1.1511e-09, 0.00218802, 2.59769e-05, 0.396052, 8.63021e-05, 7.06441e-07, 2.74868e-10, 3.46209e-12, 3.18229e-10, 8.04022e-11, 7.56251e-08, 0.339954, 
0.00789474, 1.00013e+06, 0.149695, 1173, 1173, 0.0587396, 0.0828889, 5.92354e-18, 0.0691935, 0.377792, 0.411377, 8.43996e-06, 0.25736, 0.00187836, 1.02005e-09, 0.00212891, 2.6823e-05, 0.403236, 8.35846e-05, 7.634e-07, 2.91695e-10, 3.1894e-12, 2.83664e-10, 7.16638e-11, 7.84479e-08, 0.335285, 
0.00894737, 1.00012e+06, 0.148932, 1173, 1173, 0.052884, 0.0879752, 5.82245e-18, 0.072601, 0.379127, 0.407404, 8.54506e-06, 0.254896, 0.00183271, 9.07968e-10, 0.00208447, 2.7777e-05, 0.409584, 8.16966e-05, 8.1171e-07, 3.06626e-10, 2.96149e-12, 2.54099e-10, 6.43238e-11, 8.13802e-08, 0.331492, 
0.01, 1.0001e+06, 0.145843, 1173, 1173, 0.0479719, 0.0924239, 5.70799e-18, 0.0760821, 0.378453, 0.405061, 8.66583e-06, 0.252455, 0.00180955, 8.16466e-10, 0.00205445, 2.88128e-05, 0.414959, 8.05922e-05, 8.48696e-07, 3.19043e-10, 2.77649e-12, 2.29895e-10, 5.84113e-11, 8.43389e-08, 0.328612, 
0.0105263, 1.0001e+06, 0.145814, 1173, 1173, 0.0456646, 0.0945546, 5.7867e-18, 0.0778714, 0.377704, 0.404197, 8.73039e-06, 0.25123, 0.00180229, 7.7419e-10, 0.00204214, 2.93586e-05, 0.417472, 8.01891e-05, 8.65029e-07, 3.24813e-10, 2.69079e-12, 2.18694e-10, 5.5692e-11, 8.58512e-08, 0.327343, 
0.0107895, 1.0001e+06, 0.144226, 1173, 1173, 0.044541, 0.095602, 5.47922e-18, 0.0787796, 0.377236, 0.403832, 8.76367e-06, 0.250615, 0.0017996, 7.53759e-10, 0.00203656, 2.96396e-05, 0.418693, 8.00198e-05, 8.72712e-07, 3.27607e-10, 2.64924e-12, 2.13276e-10, 5.43797e-11, 8.66188e-08, 0.326744, 
0.0110526, 1.00009e+06, 0.144714, 1173, 1173, 0.0434489, 0.0966259, 5.81798e-18, 0.0796957, 0.376697, 0.403524, 8.79762e-06, 0.250002, 0.00179769, 7.34002e-10, 0.00203148, 2.9925e-05, 0.41988, 7.98773e-05, 8.79933e-07, 3.30303e-10, 2.60891e-12, 2.08031e-10, 5.3112e-11, 8.73903e-08, 0.326178, 
0.0113158, 1.00009e+06, 0.143112, 1173, 1173, 0.0423835, 0.0976294, 5.96651e-18, 0.0806225, 0.376091, 0.403264, 8.83217e-06, 0.249389, 0.00179645, 7.14821e-10, 0.00202681, 3.02151e-05, 0.421037, 7.97583e-05, 8.86746e-07, 3.32914e-10, 2.5696e-12, 2.02934e-10, 5.1882e-11, 8.81661e-08, 0.32564, 
0.0115789, 1.00009e+06, 0.14359, 1173, 1173, 0.0413484, 0.098606, 5.77268e-18, 0.0815459, 0.375437, 0.403053, 8.8674e-06, 0.248783, 0.00179584, 6.96274e-10, 0.00202259, 3.05068e-05, 0.422155, 7.96614e-05, 8.93124e-07, 3.35427e-10, 2.5314e-12, 1.98002e-10, 5.06929e-11, 8.89397e-08, 0.325132, 
0.0121053, 1.00008e+06, 0.141397, 1173, 1173, 0.0392392, 0.100623, 5.80898e-18, 0.0834799, 0.373973, 0.402676, 8.93992e-06, 0.247521, 0.00179556, 6.58689e-10, 0.00201437, 3.11259e-05, 0.424441, 7.94933e-05, 9.05839e-07, 3.4055e-10, 2.45369e-12, 1.87999e-10, 4.82826e-11, 9.05671e-08, 0.324117, 
0.0131579, 1.00007e+06, 0.140047, 1173, 1173, 0.0355689, 0.104169, 5.92449e-18, 0.0874285, 0.370054, 0.40277, 9.09484e-06, 0.245053, 0.00180641, 5.94245e-10, 0.00200528, 3.24172e-05, 0.42844, 7.95531e-05, 9.23301e-07, 3.49033e-10, 2.31654e-12, 1.70738e-10, 4.41523e-11, 9.38281e-08, 0.322582, 
0.0142105, 1.00006e+06, 0.136556, 1173, 1173, 0.0321974, 0.107489, 6.10341e-18, 0.0916016, 0.365291, 0.403412, 9.25712e-06, 0.242551, 0.00182597, 5.35881e-10, 0.00200088, 3.38125e-05, 0.432142, 7.98948e-05, 9.35407e-07, 3.56477e-10, 2.18815e-12, 1.55012e-10, 4.03982e-11, 9.72338e-08, 0.321365, 
0.0152632, 1.00005e+06, 0.13512, 1173, 1173, 0.0291498, 0.110456, 6.32996e-18, 0.0958987, 0.359848, 0.404639, 9.43031e-06, 0.240087, 0.00185422, 4.83846e-10, 0.00200153, 3.52828e-05, 0.435441, 8.05237e-05, 9.41465e-07, 3.6259e-10, 2.06835e-12, 1.40892e-10, 3.70282e-11, 1.00703e-07, 0.320499, 
0.0163158, 1.00004e+06, 0.131567, 1173, 1173, 0.0262626, 0.113318, 6.59838e-18, 0.100523, 0.35374, 0.406147, 9.60789e-06, 0.237545, 0.00188933, 4.35012e-10, 0.0020048, 3.68823e-05, 0.438609, 8.13489e-05, 9.43955e-07, 3.68042e-10, 1.95166e-12, 1.27563e-10, 3.38392e-11, 1.0437e-07, 0.319833, 
0.0173684, 1.00003e+06, 0.130139, 1173, 1173, 0.0237778, 0.115647, 6.91833e-18, 0.105089, 0.347232, 0.408244, 9.7945e-06, 0.235142, 0.00193298, 3.93503e-10, 0.00201336, 3.85096e-05, 0.441238, 8.24587e-05, 9.39933e-07, 3.71803e-10, 1.84568e-12, 1.16118e-10, 3.10965e-11, 1.07967e-07, 0.319552, 
0.0184211, 1.00002e+06, 0.126555, 1173, 1173, 0.0211243, 0.118225, 7.28826e-18, 0.110379, 0.339988, 0.410273, 9.98911e-06, 0.232479, 0.00198232, 3.49293e-10, 0.00202165, 4.03729e-05, 0.444108, 8.36762e-05, 9.35384e-07, 3.75785e-10, 1.73088e-12, 1.03922e-10, 2.81445e-11, 1.12003e-07, 0.319284, 
0.0194737, 1.00001e+06, 0.125283, 1173, 1173, 0.0194035, 0.11968, 7.69775e-18, 0.114728, 0.333118, 0.41306, 1.01715e-05, 0.230329, 0.00203881, 3.21131e-10, 0.00203723, 4.20338e-05, 0.44589, 8.51866e-05, 9.22336e-07, 3.76887e-10, 1.64749e-12, 9.59587e-11, 2.62287e-11, 1.15427e-07, 0.319577, 
0.0205263, 1e+06, 0.121442, 1173, 1173, 0.0163505, 0.122326, 8.26255e-18, 0.122015, 0.323579, 0.415719, 1.04277e-05, 0.227092, 0.00211325, 2.70704e-10, 0.00205111, 4.45326e-05, 0.448911, 8.70229e-05, 9.10203e-07, 3.79804e-10, 1.50633e-12, 8.19634e-11, 2.27682e-11, 1.20521e-07, 0.319699, 
