z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, 
0.000526316, 1.00021e+06, 0.142887, 1173, 1173, 0.173165, 0.0184637, 4.52239e-17, 0.0279709, 0.194782, 0.58561, 8.82465e-06, 0.258494, 0.00725273, 4.20625e-09, 0.00423921, 2.30266e-05, 0.260793, 0.000231757, 8.6579e-08, 6.52676e-11, 1.43789e-11, 1.20875e-09, 3.71354e-10, 4.84353e-08, 0.468966, 
0.00157895, 1.00019e+06, 0.148742, 1173, 1173, 0.13366, 0.0343296, 1.74291e-17, 0.0433218, 0.275297, 0.513383, 8.47258e-06, 0.267557, 0.00391721, 2.8268e-09, 0.0032357, 2.31539e-05, 0.316803, 0.000148806, 2.25144e-07, 1.25605e-10, 8.18456e-12, 7.77447e-10, 2.14752e-10, 5.78386e-08, 0.408315, 
0.00263158, 1.00018e+06, 0.152327, 1173, 1173, 0.110644, 0.0463482, 1.12683e-17, 0.0505933, 0.316944, 0.475462, 8.31667e-06, 0.267912, 0.00294087, 2.1838e-09, 0.00279658, 2.34771e-05, 0.345154, 0.000119868, 3.52378e-07, 1.69801e-10, 6.06418e-12, 5.95969e-10, 1.57521e-10, 6.29064e-08, 0.381053, 
0.00368421, 1.00017e+06, 0.15302, 1173, 1173, 0.0947351, 0.0560666, 8.7494e-18, 0.0553654, 0.34194, 0.451885, 8.25672e-06, 0.266413, 0.00248034, 1.79009e-09, 0.00254459, 2.39557e-05, 0.36362, 0.000105007, 4.63118e-07, 2.04254e-10, 4.96359e-12, 4.88534e-10, 1.26194e-10, 6.66638e-08, 0.364812, 
0.00473684, 1.00016e+06, 0.153717, 1173, 1173, 0.0827779, 0.0641859, 7.43567e-18, 0.0591691, 0.35782, 0.436039, 8.25383e-06, 0.26437, 0.00221872, 1.51732e-09, 0.00238185, 2.45334e-05, 0.377015, 9.60871e-05, 5.57671e-07, 2.32038e-10, 4.2825e-12, 4.15341e-10, 1.05937e-10, 6.98347e-08, 0.353893, 
0.00578947, 1.00015e+06, 0.152572, 1173, 1173, 0.0732526, 0.0711979, 6.67651e-18, 0.0626024, 0.368019, 0.42492, 8.28972e-06, 0.262108, 0.00205518, 1.31265e-09, 0.00226913, 2.52083e-05, 0.38748, 9.02635e-05, 6.38196e-07, 2.55182e-10, 3.81198e-12, 3.60943e-10, 9.14485e-11, 7.27687e-08, 0.345971, 
0.00684211, 1.00014e+06, 0.151998, 1173, 1173, 0.0653906, 0.0773739, 6.2117e-18, 0.065904, 0.374325, 0.416998, 8.35392e-06, 0.259754, 0.00194848, 1.15142e-09, 0.00218814, 2.59729e-05, 0.39603, 8.63066e-05, 7.06313e-07, 2.74823e-10, 3.46274e-12, 3.18315e-10, 8.0423e-11, 7.56138e-08, 0.339966, 
0.00789474, 1.00013e+06, 0.149937, 1173, 1173, 0.0587146, 0.0829124, 5.92046e-18, 0.0692107, 0.37779, 0.411364, 8.44036e-06, 0.257346, 0.00187821, 1.01957e-09, 0.00212873, 2.68285e-05, 0.403267, 8.35779e-05, 7.63599e-07, 2.91762e-10, 3.18841e-12, 2.83535e-10, 7.16322e-11, 7.84638e-08, 0.335268, 
0.00894737, 1.00012e+06, 0.148686, 1173, 1173, 0.052943, 0.0879221, 5.78679e-18, 0.0725774, 0.379096, 0.407453, 8.54451e-06, 0.254917, 0.0018333, 9.09093e-10, 0.00208498, 2.77693e-05, 0.409521, 8.17199e-05, 8.11158e-07, 3.06467e-10, 2.96373e-12, 2.54394e-10, 6.43977e-11, 8.13543e-08, 0.331533, 
0.01, 1.0001e+06, 0.146116, 1173, 1173, 0.0478481, 0.0925182, 5.72409e-18, 0.0760773, 0.378675, 0.404873, 8.66451e-06, 0.252456, 0.00180713, 8.14125e-10, 0.00205291, 2.88037e-05, 0.415056, 8.05082e-05, 8.50208e-07, 3.1937e-10, 2.772e-12, 2.29296e-10, 5.8254e-11, 8.43369e-08, 0.328517, 
0.0110526, 1.00009e+06, 0.144488, 1173, 1173, 0.0433467, 0.0967064, 5.71713e-18, 0.0796837, 0.376888, 0.403366, 8.79616e-06, 0.250005, 0.00179564, 7.32098e-10, 0.00203019, 2.99158e-05, 0.419959, 7.98065e-05, 8.81247e-07, 3.30583e-10, 2.60537e-12, 2.07546e-10, 5.2985e-11, 8.73856e-08, 0.326099, 
0.0121053, 1.00008e+06, 0.141629, 1173, 1173, 0.0392643, 0.100594, 5.57362e-18, 0.0834851, 0.373924, 0.402724, 8.94095e-06, 0.247523, 0.00179615, 6.59161e-10, 0.00201477, 3.1127e-05, 0.424412, 7.95142e-05, 9.05417e-07, 3.40455e-10, 2.45448e-12, 1.88119e-10, 4.83137e-11, 9.05644e-08, 0.324142, 
0.0131579, 1.00007e+06, 0.139799, 1173, 1173, 0.0355816, 0.10417, 5.93318e-18, 0.0874458, 0.370009, 0.402785, 9.09455e-06, 0.245043, 0.00180673, 5.94467e-10, 0.0020054, 3.24233e-05, 0.428443, 7.95625e-05, 9.23178e-07, 3.49021e-10, 2.31698e-12, 1.70793e-10, 4.41676e-11, 9.38401e-08, 0.322589, 
0.0142105, 1.00006e+06, 0.136793, 1173, 1173, 0.0322321, 0.107444, 5.90068e-18, 0.0915828, 0.365256, 0.403475, 9.25836e-06, 0.242563, 0.0018266, 5.36512e-10, 0.00200139, 3.38099e-05, 0.432098, 7.99188e-05, 9.34867e-07, 3.56344e-10, 2.18921e-12, 1.55174e-10, 4.0439e-11, 9.7222e-08, 0.321396, 
0.0152632, 1.00005e+06, 0.134865, 1173, 1173, 0.0291006, 0.110526, 6.35457e-18, 0.0959941, 0.359748, 0.404622, 9.43143e-06, 0.240036, 0.00185452, 4.82995e-10, 0.00200131, 3.5311e-05, 0.435516, 8.05257e-05, 9.41766e-07, 3.62742e-10, 2.06655e-12, 1.40661e-10, 3.69735e-11, 1.00769e-07, 0.320475, 
0.0163158, 1.00004e+06, 0.131836, 1173, 1173, 0.0263833, 0.113178, 6.58518e-18, 0.100367, 0.353845, 0.406217, 9.60543e-06, 0.237625, 0.00188945, 4.37095e-10, 0.00200552, 3.68392e-05, 0.438468, 8.13662e-05, 9.43087e-07, 3.67712e-10, 1.956e-12, 1.28116e-10, 3.39754e-11, 1.04263e-07, 0.319893, 
0.0173684, 1.00003e+06, 0.129832, 1173, 1173, 0.0236443, 0.11581, 6.91124e-18, 0.1053, 0.347049, 0.408188, 9.79826e-06, 0.235036, 0.00193338, 3.91223e-10, 0.00201271, 3.85718e-05, 0.441403, 8.24539e-05, 9.40712e-07, 3.72159e-10, 1.8407e-12, 1.15508e-10, 3.09464e-11, 1.08113e-07, 0.319493, 
0.0184211, 1.00002e+06, 0.126884, 1173, 1173, 0.0213365, 0.117977, 7.17219e-18, 0.11016, 0.340045, 0.410472, 9.98648e-06, 0.232587, 0.0019837, 3.52935e-10, 0.0020234, 4.03161e-05, 0.443875, 8.37416e-05, 9.33481e-07, 3.7517e-10, 1.73832e-12, 1.04877e-10, 2.83861e-11, 1.11855e-07, 0.319405, 
0.0189474, 1.00001e+06, 0.126139, 1173, 1173, 0.0202135, 0.119001, 4.48834e-18, 0.112671, 0.336408, 0.411696, 1.00841e-05, 0.231354, 0.00201123, 3.34392e-10, 0.00202954, 4.12301e-05, 0.445054, 8.44486e-05, 9.28797e-07, 3.76417e-10, 1.68715e-12, 9.97116e-11, 2.71337e-11, 1.13777e-07, 0.319425, 
0.0194737, 1.00001e+06, 0.124434, 1173, 1173, 0.0190961, 0.120012, 1.44856e-17, 0.115277, 0.332706, 0.4129, 1.01807e-05, 0.230103, 0.0020399, 3.15819e-10, 0.00203573, 4.21751e-05, 0.446226, 8.51783e-05, 9.23809e-07, 3.77581e-10, 1.63527e-12, 9.45348e-11, 2.58716e-11, 1.15741e-07, 0.319467, 
0.02, 1e+06, 0.123742, 1173, 1173, 0.0181607, 0.120796, 8.92757e-19, 0.117693, 0.329074, 0.414266, 1.02794e-05, 0.228957, 0.00207029, 3.00543e-10, 0.00204349, 4.30816e-05, 0.447173, 8.59735e-05, 9.17075e-07, 3.78142e-10, 1.58988e-12, 9.023e-11, 2.48227e-11, 1.17581e-07, 0.319626, 
0.0205263, 1e+06, 0.122032, 1173, 1173, 0.0168115, 0.121922, 9.93389e-18, 0.12069, 0.325599, 0.414968, 1.03769e-05, 0.227722, 0.00209554, 2.78232e-10, 0.0020467, 4.40124e-05, 0.448415, 8.65647e-05, 9.14198e-07, 3.79602e-10, 1.52967e-12, 8.40973e-11, 2.32927e-11, 1.19489e-07, 0.319589, 
