z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, 
0.000526316, 1.00021e+06, 0.142887, 1173, 1173, 0.17969, 0.0334512, 9.35986e-17, 0.0796208, 0.0253991, 0.682372, 2.28031e-05, 0.258494, 0.00725273, 4.20625e-09, 0.00423921, 2.30266e-05, 0.260793, 0.000231757, 8.6579e-08, 6.52676e-11, 1.43789e-11, 1.20875e-09, 3.71354e-10, 4.84353e-08, 0.468966, 
0.00157895, 1.00019e+06, 0.148742, 1173, 1173, 0.144848, 0.0649544, 3.76725e-17, 0.128788, 0.0374903, 0.624745, 2.28643e-05, 0.267557, 0.00391721, 2.8268e-09, 0.0032357, 2.31539e-05, 0.316803, 0.000148806, 2.25144e-07, 1.25605e-10, 8.18456e-12, 7.77447e-10, 2.14752e-10, 5.78386e-08, 0.408315, 
0.00263158, 1.00018e+06, 0.152327, 1173, 1173, 0.122357, 0.0894872, 2.48539e-17, 0.153479, 0.044044, 0.590425, 2.29024e-05, 0.267912, 0.00294087, 2.1838e-09, 0.00279658, 2.34771e-05, 0.345154, 0.000119868, 3.52378e-07, 1.69801e-10, 6.06418e-12, 5.95969e-10, 1.57521e-10, 6.29064e-08, 0.381053, 
0.00368421, 1.00017e+06, 0.15302, 1173, 1173, 0.106079, 0.109609, 1.95403e-17, 0.170063, 0.048114, 0.56819, 2.30227e-05, 0.266413, 0.00248034, 1.79009e-09, 0.00254459, 2.39557e-05, 0.36362, 0.000105007, 4.63118e-07, 2.04254e-10, 4.96359e-12, 4.88534e-10, 1.26194e-10, 6.66638e-08, 0.364812, 
0.00473684, 1.00016e+06, 0.153717, 1173, 1173, 0.0928823, 0.125744, 1.66409e-17, 0.182125, 0.0504531, 0.549405, 2.30625e-05, 0.26437, 0.00221872, 1.51732e-09, 0.00238185, 2.45334e-05, 0.377015, 9.60871e-05, 5.57671e-07, 2.32038e-10, 4.2825e-12, 4.15341e-10, 1.05937e-10, 6.98347e-08, 0.353893, 
0.00578947, 1.00015e+06, 0.152572, 1173, 1173, 0.0821378, 0.139385, 1.49316e-17, 0.19256, 0.0518555, 0.535027, 2.31468e-05, 0.262108, 0.00205518, 1.31265e-09, 0.00226913, 2.52083e-05, 0.38748, 9.02635e-05, 6.38196e-07, 2.55182e-10, 3.81198e-12, 3.60943e-10, 9.14485e-11, 7.27687e-08, 0.345971, 
0.00684211, 1.00014e+06, 0.151998, 1173, 1173, 0.0729904, 0.15079, 1.38292e-17, 0.201799, 0.0525055, 0.522677, 2.32205e-05, 0.259754, 0.00194848, 1.15142e-09, 0.00218814, 2.59729e-05, 0.39603, 8.63066e-05, 7.06313e-07, 2.74823e-10, 3.46274e-12, 3.18315e-10, 8.0423e-11, 7.56138e-08, 0.339966, 
0.00789474, 1.00013e+06, 0.149937, 1173, 1173, 0.0650993, 0.160501, 1.30925e-17, 0.210504, 0.0526364, 0.512159, 2.33036e-05, 0.257346, 0.00187821, 1.01957e-09, 0.00212873, 2.68285e-05, 0.403267, 8.35779e-05, 7.63599e-07, 2.91762e-10, 3.18841e-12, 2.83535e-10, 7.16322e-11, 7.84638e-08, 0.335268, 
0.00894737, 1.00012e+06, 0.148686, 1173, 1173, 0.0581934, 0.168729, 1.26864e-17, 0.218838, 0.0523623, 0.502911, 2.33875e-05, 0.254917, 0.0018333, 9.09093e-10, 0.00208498, 2.77693e-05, 0.409521, 8.17199e-05, 8.11158e-07, 3.06467e-10, 2.96373e-12, 2.54394e-10, 6.43977e-11, 8.13543e-08, 0.331533, 
0.01, 1.0001e+06, 0.146116, 1173, 1173, 0.0519954, 0.175531, 1.24063e-17, 0.226783, 0.0517096, 0.494046, 2.34463e-05, 0.252456, 0.00180713, 8.14125e-10, 0.00205291, 2.88037e-05, 0.415056, 8.05082e-05, 8.50208e-07, 3.1937e-10, 2.772e-12, 2.29296e-10, 5.8254e-11, 8.43369e-08, 0.328517, 
0.0110526, 1.00009e+06, 0.144488, 1173, 1173, 0.0464343, 0.18087, 1.22151e-17, 0.234158, 0.0507342, 0.485212, 2.34643e-05, 0.250005, 0.00179564, 7.32098e-10, 0.00203019, 2.99158e-05, 0.419959, 7.98065e-05, 8.81247e-07, 3.30583e-10, 2.60537e-12, 2.07546e-10, 5.2985e-11, 8.73856e-08, 0.326099, 
0.0121053, 1.00008e+06, 0.141629, 1173, 1173, 0.0417865, 0.186912, 1.18308e-17, 0.243727, 0.0500064, 0.481276, 2.36948e-05, 0.247523, 0.00179615, 6.59161e-10, 0.00201477, 3.1127e-05, 0.424412, 7.95142e-05, 9.05417e-07, 3.40455e-10, 2.45448e-12, 1.88119e-10, 4.83137e-11, 9.05644e-08, 0.324142, 
0.0131579, 1.00007e+06, 0.139799, 1173, 1173, 0.0372513, 0.190408, 1.23891e-17, 0.251137, 0.048678, 0.47352, 2.37098e-05, 0.245043, 0.00180673, 5.94467e-10, 0.0020054, 3.24233e-05, 0.428443, 7.95625e-05, 9.23178e-07, 3.49021e-10, 2.31698e-12, 1.70793e-10, 4.41676e-11, 9.38401e-08, 0.322589, 
