z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Annular_Density, Annular_Velocity, Annular_Temperature, 
0.000526316, 1.00021e+06, 0.143109, 1173, 1173, 0.179601, 0.033444, 9.34988e-17, 0.079614, 0.025387, 0.682037, 2.27932e-05, 0.258485, 0.0072524, 4.20602e-09, 0.00423899, 2.30315e-05, 0.260818, 0.000231746, 8.65995e-08, 6.52821e-11, 1.4378e-11, 1.20867e-09, 3.71332e-10, 4.84454e-08, 0.468951, 0.0206708, 0.01, 1173, 
0.00157895, 1.00019e+06, 0.148513, 1173, 1173, 0.144727, 0.0648727, 3.76228e-17, 0.12863, 0.0374527, 0.624167, 2.28421e-05, 0.267566, 0.00391771, 2.82729e-09, 0.00323597, 2.31499e-05, 0.316773, 0.000148822, 2.25072e-07, 1.25571e-10, 8.18608e-12, 7.77586e-10, 2.14793e-10, 5.78274e-08, 0.408336, 0.0206708, 0.0182993, 1173, 
0.00263158, 1.00018e+06, 0.152558, 1173, 1173, 0.122376, 0.0895338, 2.48523e-17, 0.153548, 0.0440585, 0.590573, 2.29093e-05, 0.267906, 0.00294051, 2.18341e-09, 0.00279635, 2.34797e-05, 0.345178, 0.000119856, 3.52473e-07, 1.69837e-10, 6.06313e-12, 5.95863e-10, 1.57491e-10, 6.29147e-08, 0.381036, 0.0206708, 0.0285713, 1173, 
0.00368421, 1.00017e+06, 0.152785, 1173, 1173, 0.105859, 0.109362, 1.94853e-17, 0.169686, 0.048009, 0.566972, 2.29729e-05, 0.266416, 0.00248049, 1.79029e-09, 0.00254469, 2.39547e-05, 0.36361, 0.000105013, 4.63064e-07, 2.04236e-10, 4.9641e-12, 4.88588e-10, 1.26208e-10, 6.66604e-08, 0.364819, 0.0206708, 0.0400255, 1173, 
0.00473684, 1.00016e+06, 0.153952, 1173, 1173, 0.0928191, 0.12566, 1.66229e-17, 0.182004, 0.0504189, 0.549034, 2.3047e-05, 0.26437, 0.00221872, 1.51731e-09, 0.00238184, 2.45337e-05, 0.377016, 9.60869e-05, 5.57677e-07, 2.3204e-10, 4.28248e-12, 4.15338e-10, 1.05936e-10, 6.98355e-08, 0.353892, 0.0206708, 0.0522316, 1173, 
0.00578947, 1.00015e+06, 0.152336, 1173, 1173, 0.0820636, 0.139253, 1.491e-17, 0.192379, 0.0518073, 0.534532, 2.31252e-05, 0.262109, 0.00205519, 1.31269e-09, 0.00226914, 2.52081e-05, 0.387478, 9.0264e-05, 6.38186e-07, 2.55178e-10, 3.81206e-12, 3.60952e-10, 9.1451e-11, 7.2768e-08, 0.345972, 0.0206708, 0.0649203, 1173, 
0.00684211, 1.00014e+06, 0.152233, 1173, 1173, 0.0729309, 0.150669, 1.38182e-17, 0.201638, 0.0524629, 0.522255, 2.3202e-05, 0.259754, 0.00194848, 1.15141e-09, 0.00218814, 2.59732e-05, 0.396031, 8.63068e-05, 7.06315e-07, 2.74824e-10, 3.46273e-12, 3.18312e-10, 8.04224e-11, 7.56145e-08, 0.339966, 0.0206708, 0.0779073, 1173, 
0.00789474, 1.00013e+06, 0.149702, 1173, 1173, 0.0650432, 0.160354, 1.31112e-17, 0.21031, 0.0525891, 0.511699, 2.32823e-05, 0.257347, 0.00187821, 1.01961e-09, 0.00212874, 2.68281e-05, 0.403265, 8.35781e-05, 7.63589e-07, 2.91758e-10, 3.1885e-12, 2.83546e-10, 7.16349e-11, 7.84627e-08, 0.335269, 0.0206708, 0.0910583, 1173, 
0.00894737, 1.00012e+06, 0.148921, 1173, 1173, 0.0581263, 0.168549, 1.26635e-17, 0.218608, 0.0523046, 0.502362, 2.33626e-05, 0.254915, 0.00183331, 9.09036e-10, 0.00208497, 2.77702e-05, 0.409524, 8.17201e-05, 8.1117e-07, 3.06473e-10, 2.96361e-12, 2.54379e-10, 6.43941e-11, 8.13568e-08, 0.331532, 0.0206708, 0.104271, 1173, 
0.01, 1.0001e+06, 0.145882, 1173, 1173, 0.0519994, 0.175492, 1.23994e-17, 0.226727, 0.0517033, 0.493979, 2.34417e-05, 0.252461, 0.00180713, 8.14309e-10, 0.00205293, 2.88012e-05, 0.415047, 8.05087e-05, 8.50159e-07, 3.1935e-10, 2.77239e-12, 2.29345e-10, 5.82658e-11, 8.43303e-08, 0.328521, 0.0206708, 0.117463, 1173, 
